Hampton Court,6,KT8 9AE,51.402294,-0.342757,515376,168332,-5226.19,23401.84
Hampton Wick,6,KT1 4DQ,51.41464,-0.313104,517407,169752,-3195.19,21981.84
Hanger Lane,3,W5 1DL,51.530072,-0.292996,518506,182621,-2096.19,9112.84
Hanwell,4,W7 3EB,51.512186,-0.338052,515426,180560,-5176.19,11173.84
Harlesden,3,NW10 8UT,51.536258,-0.257496,520952,183367,349.81,8366.84
Harold Wood,6,RM3 0BL,51.593202,0.234204,554858,190626,34255.81,1107.84
Harringay,3,N4 1RW,51.577358,-0.105208,531395,188200,10792.81,3533.84
Harringay Green Lanes,3,N4 2NU,51.577146,-0.098217,531880,188189,11277.81,3544.84
Harrington Road,"3,4,5,6",SE25 4NF,51.399791,-0.0607,535002,168535,14399.81,23198.84
Harrow and Wealdstone,5,HA3 7RF,51.592595,-0.334253,515486,189508,-5116.19,2225.84
Harrow-on-the-Hill,5,HA1 1BB,51.579388,-0.337002,515329,188035,-5273.19,3698.84
Hatch End,6,HA5 5LZ,51.609829,-0.369179,513024,191370,-7578.19,363.84
Hatton Cross,"5,6",TW6 3PF,51.466685,-0.423381,509614,175369,-10988.19,16364.84
Haydons Road,3,SW19 8SL,51.425457,-0.188929,526012,171161,5409.81,20572.84
Hayes,5,BR2 7EN,51.375737,0.010143,540003,165993,19400.81,25740.84
Hayes and Harlington,5,UB3 4BX,51.503049,-0.420642,509717,179417,-10885.19,12316.84
Headstone Lane,5,HA2 6NB,51.6025,-0.356908,513892,190574,-6710.19,1159.84
Heathrow Terminal 4,6,TW6 3AA,51.45978,-0.44773,507939,174565,-12663.19,17168.84
Heathrow Terminal 5,6,TW6 2GA,51.470025,-0.490647,504934,175642,-15668.19,16091.84
Heathrow Terminals 1 2 3,6,TW6 1EB,51.471289,-0.452407,507587,175838,-13015.19,15895.84
Hendon,"3,4",NW4 4PT,51.580075,-0.238631,522143,188271,1540.81,3462.84
Hendon Central,"3,4",NW4 3AS,51.583133,-0.226734,522959,188631,2356.81,3102.84
Herne Hill,"2,3",SE24 0JW,51.453991,-0.102563,531934,174486,11331.81,17247.84
Heron Quays,2,E14 4JH,51.503387,-0.021954,537386,180127,16783.81,11606.84
High Barnet,5,EN5 5RP,51.651688,-0.194165,525027,196310,4424.81,-4576.16
High Street Kensington,1,W8 5SA,51.500729,-0.191566,525622,179527,5019.81,12206.84
Highams Park,4,E4 9LA,51.608356,-0.000135,538581,191841,17978.81,-107.16
Highbury and Islington,2,N1 1SE,51.546496,-0.104082,531562,184770,10959.81,6963.84
Highgate,3,N6 5BH,51.577647,-0.146935,528503,188158,7900.81,3575.84
Hillingdon,6,UB10 9NR,51.553778,-0.449898,507567,185015,-13035.19,6718.84
Hither Green,3,SE13 5NF,51.452402,-0.000971,538997,174497,18394.81,17236.84
Holborn,1,WC2B 6AA,51.517236,-0.119841,530553,181488,9950.81,10245.84
Holland Park,2,W11 3RB,51.507146,-0.206558,524564,180215,3961.81,11518.84
Holloway Road,2,N7 8HS,51.552816,-0.112936,530930,185457,10327.81,6276.84
Homerton,2,E9 5SD,51.546595,-0.038512,536108,184901,15505.81,6832.84
Honor Oak Park,3,SE23 3LE,51.450648,-0.044153,536002,174221,15399.81,17512.84
Hornchurch,6,RM12 6LS,51.554355,0.218927,553931,186274,33328.81,5459.84
Hornsey,3,N8 8SE,51.586475,-0.111816,530911,189202,10308.81,2531.84
Hounslow,5,TW3 3DL,51.462505,-0.361796,513902,174998,-6700.19,16735.84
Hounslow Central,4,TW3 1JG,51.470926,-0.365958,513592,175928,-7010.19,15805.84
Hounslow East,4,TW3 4AB,51.473708,-0.355275,514327,176254,-6275.19,15479.84
Hounslow West,5,TW3 3DH,51.473106,-0.385708,512215,176140,-8387.19,15593.84
Hoxton,"1,2",E2 8HR,51.531392,-0.075586,533582,183142,12979.81,8591.84
Hyde Park Corner,1,SW1X 7LY,51.502584,-0.152474,528330,179801,7727.81,11932.84
Ickenham,6,UB10 8PD,51.560825,-0.44158,508127,185811,-12475.19,5922.84
Ilford,4,IG1 4DU,51.559142,0.068685,543501,186501,22898.81,5232.84
Imperial Wharf,2,SW6 2HA,51.474939,-0.182838,526299,176674,5696.81,15059.84
Island Gardens,2,E14 3FA,51.48795,-0.010493,538228,178432,17625.81,13301.84
Isleworth,4,TW7 4BX,51.475037,-0.337329,515570,176430,-5032.19,15303.84
Iver,,SL0 9AU,51.508502,-0.50674,503729,179898,-16873.19,11835.84
Kenley,6,CR8 5JA,51.3246,-0.10122,532400,160100,11797.81,31633.84
Kennington,2,SE11 4JQ,51.488662,-0.105071,531660,178337,11057.81,13396.84
Kensal Green,2,NW10 5JT,51.530524,-0.224713,523241,182784,2638.81,8949.84
Kensal Rise,2,NW10 3NT,51.534215,-0.220821,523501,183201,2898.81,8532.84
Kensington (Olympia),2,W14 0NE,51.49788,-0.210379,524324,179178,3721.81,12555.84
Kent House,4,BR3 1JF,51.412718,-0.045816,535999,170000,15396.81,21733.84
Kentish Town,2,NW5 2AA,51.55001,-0.140471,529029,185096,8426.81,6637.84
Kentish Town West,2,NW5 3LD,51.546548,-0.146756,528603,184700,8000.81,7033.84
Kenton,4,HA3 0XS,51.581496,-0.315217,516833,188304,-3769.19,3429.84
Kew Bridge,3,TW8 0EF,51.490005,-0.288846,518898,178172,-1704.19,13561.84
Kew Gardens,"3,4",TW9 3PZ,51.476789,-0.285381,519173,176708,-1429.19,15025.84
Kidbrooke,3,SE3 9NF,51.46269,0.0283,540999,175697,20396.81,16036.84
Kilburn,2,NW6 7QL,51.546944,-0.204633,524589,184644,3986.81,7089.84
